requirement_id,requirement_type,requirement_summary,linked_qs,linked_metrics,target_or_threshold,linked_adr,linked_specs,linked_datasets,linked_test_cases,evidence_artifacts,pass_condition,implementation_notes,status,repo_version
Ä1,business,"Laenuriski hindamise tugi standardiseeritud ja võrreldava sisendvooga",QS5,SLI1;SLI2;SLI4;SLI5;QC2,SLI1>=0.95;SLI2>=0.99;SLI4=1.0;SLI5=1.0;QC2=1.0,ADR-03;ADR-05;ADR-06,S-01;S-02;S-03;C-01;C-02;C-03,D1;D2;D3;D9;D10;D11,TJ-01;TJ-02;TJ-03,sv.json;report.json;ml_v1.csv;llm_context_v1.json,SV + projektsioonid valideeruvad skeemide vastu; versiooniväljad raportis olemas; golden-diff=0,"Koondnõue; realiseerub F1/F2/F5 kaudu; seos Q6/Q7/Q8/Q10",ACTIVE,thesis-v3-2026-04-19@2f0ec68
Ä2,business,"Minimaalne mõju olemasolevatele töövoogudele; standardiseerimiskihina töötav adapter",-,-,-,ADR-02;ADR-03;ADR-08,PROFILE-DEFAULT,D1..D11,TJ-01;TJ-09,sv.json;report.json;spec.lock.json,"Lokaalne CLI/batch; tuum eraldatud I/O-st; UI ei sisalda transformatsiooni","Tuuma eraldatust tõendavad import-piirangute testid (test_import_boundaries.py); TJ-09 koondab arhitektuurilise eraldatuse ja turvaeelduste testid",ACTIVE,thesis-v3-2026-04-19@2f0ec68
Ä3,business,"Sisendvoo kvaliteet peab olema mõõdetav ja tõendatav",QS1;QS2;QS3;QS4;QS5;QS6,SLI1;SLI2;SLI3;SLI4;SLI5;SLI6;QC2,SLI1>=0.95;SLI2>=0.99;SLI3>=0.999;SLI4=1.0;SLI5=1.0;QC2=1.0;SLI6<=500ms (D9 orientiir),ADR-01;ADR-02;ADR-03;ADR-04;ADR-05;ADR-06;ADR-07,S-05;LOCK;GOLDEN-MANIFEST,D1..D11,TJ-01;TJ-02;TJ-04;TJ-05;TJ-07,report.json;spec.lock.json;manifest.json;benchmark_log,"SLI-d on arvutatavad raportist ja raporteeritud; SLO täitmine/mittetäitmine üheselt nähtav","Koondnõue; QC1 ei mõjuta staatust",ACTIVE,thesis-v3-2026-04-19@2f0ec68
F1,functional,"Sisendandmete standardiseerimine SV-ks ja projektsioonide moodustamine",QS5,SLI1;SLI5,SLI1>=0.95;SLI5=1.0,ADR-03;ADR-05;ADR-06,C-01;S-01;C-02;S-02;C-03;S-03;C-04,D1;D3;D11,TJ-02;TJ-03,sv.json;ml_v1.csv;llm_context_v1.json,"End-to-end käitus D1-ga; golden diff=0 või muudatus on versioonitud ja põhjendatud","Pipeline etapid: PARSE->NORMALIZE->VALIDATE->PROJECT",ACTIVE,thesis-v3-2026-04-19@2f0ec68
F2,functional,"SV minimaalne ulatus kui sisendis väljad olemas",QS5,SLI1,SLI1>=0.95,ADR-05,S-01;C-01,D1;D3,TJ-03,sv.json,"Skeemivalideerimine läbib; SLI1 >= 0.95","Lepingupõhine väljade katvus",ACTIVE,thesis-v3-2026-04-19@2f0ec68
F3,functional,"Valideerimine ja struktureeritud veakäsitlus; partial_success värava tingimustel",QS3;QS4,SLI2;SLI3;QC2;Gate,SLI2>=0.99;SLI3>=0.999;QC2=1.0;Gate:error_drop_ratio<5%,ADR-04;ADR-07,S-05;R-01;error_catalog;QC_quality_checks;PROFILE-DEFAULT,D4;D5;D6;D7,TJ-04;TJ-05,report.json,"Raport vastab S-05 skeemile; D4 lõppseisund on FAIL (gate); SLI2/SLI3/QC2 vastavad sihttasemetele","fail_on: any_severity=ERROR; ratio_over_records=0.05 (default.yaml)",ACTIVE,thesis-v3-2026-04-19@2f0ec68
F4,functional,"Deterministlik teisendus",QS1,SLI4,SLI4=1.0,ADR-01;ADR-03;ADR-04,LOCK;GOLDEN-MANIFEST,D1;D9,TJ-01;TJ-02,sv.json;report.json;ml_v1.csv;llm_context_v1.json;manifest.json,"5 korduskäitamist annavad bititasemel identsed väljundid; golden-diff=0","Mehhanism: ClockPort + fikseeritud sort + stabiilne JSON + Decimal; adapters/testing/clock_fixed.py testides",ACTIVE,thesis-v3-2026-04-19@2f0ec68
F5,functional,"Andmekao vältimine; äriliselt oluline info ei kao ilma dokumenteeritud erandita",QS4,SLI3;QC2,SLI3>=0.999;QC2=1.0,ADR-05,R-01;S-05,D5;D6,TJ-05,report.json,"Kriitilisi rikkumisi = 0; QC2 = 1.0; eemaldatud kirjed on dropped_details[] väljas","INV-09 deduplikatsiooni deterministlik võitja",ACTIVE,thesis-v3-2026-04-19@2f0ec68
F6,functional,"Tuletatud väljad ja projektsioonid on dokumenteeritud, versioonitavad ja korduvkasutatavad",QS5,SLI5,SLI5=1.0,ADR-03;ADR-06,C-04;C-05;C-06;S-06;S-07;PROFILE-EXTENSIONS_EVAL,D1;D7;D11,TJ-06;TJ-08,stats_v1.json;monthly_balance_v1.json;report.json,"extensions_eval profiiliga tekivad lisaprojektsioonid; audit_trail sisaldab contract_id;schema_id;validation_result=PASS","C-05/C-06 on lisatud ilma vaikeprofiili muutmata (24 uut testi)",ACTIVE,thesis-v3-2026-04-19@2f0ec68
MF1,quality,"Teostatav organisatsiooni standardplatvormil",-,-,-,ADR-02,-,-,-,backend/requirements.txt,"Build läbib; prototüüp toodab nõutud väljundid fikseeritud sõltuvustega","Lisa 4 koondtabel seob MF1 -> Q2; Q2 -> ADR-02 (lokaalne CLI/batch; no-egress)",ACTIVE,thesis-v3-2026-04-19@2f0ec68
MF2,quality,"No-egress ja ülekantavus sisekeskkonda",-,-,-,ADR-01;ADR-02,-,-,TJ-09,-,"Offline käitamine lõpeb edukalt; väliseid kutsungeid ei tehta","Lokaalne CLI/batch; sõltuvused fikseeritud requirements.txt-s; tuuma võrgu-eraldatust tõendab test_import_boundaries.py (TJ-09)",ACTIVE,thesis-v3-2026-04-19@2f0ec68
MF3,quality,"Laiendatavus ja skeemievolutsioon minimaalse koodimõjuga",QS2;QS5,SLI5,SLI5=1.0,ADR-05;ADR-06,PROFILE-EXTENSIONS_EVAL;C-05;C-06;S-06;S-07,D7,TJ-06;TJ-08,stats_v1.json;monthly_balance_v1.json,"Skeemievolutsiooni stsenaarium lokaalne; SLI5=1.0; regressioon läbib","D7 = uus sisenditüüp (standing orders); C-05/C-06 = uued projektsioonid",ACTIVE,thesis-v3-2026-04-19@2f0ec68
MF4,quality,"Testitavus ja jälgitavus",QS1;QS3;QS5;QS6,SLI1;SLI2;SLI3;SLI4;QC2;SLI6,SLI1>=0.95;SLI2>=0.99;SLI3>=0.999;SLI4=1.0;QC2=1.0,ADR-01;ADR-03;ADR-04;ADR-06,S-05;LOCK,D1;D4;D9,TJ-01;TJ-02;TJ-04;TJ-05;TJ-07,report.json;sli_slo/RESULTS.md,"Testid läbivad; käitamispõhised mõõdikud on arvutatud ja võrreldavad","Tuum isoleeritud (test_import_boundaries.py); fake-pordid backend/tests/fakes/",ACTIVE,thesis-v3-2026-04-19@2f0ec68
